date,close,volume,open,high,low,ln,,,,
12/30/2015,139.34,2985717,139.58,140.44,139.22,0.012420726,,,,
12/31/2015,137.62,3461424,139.07,139.1,137.57,0.012209093,,,,
1/4/2016,135.95,5219709,135.6,135.97,134.24,0.000735835,,,,
1/5/2016,135.85,3924783,136.76,136.89,134.8501,0.00501809,,,,
1/6/2016,135.17,4306874,134.38,135.58,133.62,0.017237303,,,,
1/7/2016,132.86,7023888,133.7,135.02,132.43,0.009300986,,,,
1/8/2016,131.63,4758257,133.18,133.816,131.32,-0.012082002,,,,
1/11/2016,133.23,4970242,131.81,133.82,131.76,0.002479992,,,,
1/12/2016,132.9,5075282,133.65,133.78,131.13,0.013102774,,,,
1/13/2016,131.17,4692792,133.5,134.2799,131.1,-0.013178016,,,,
1/14/2016,132.91,5708406,131.93,133.79,131.22,0.021907014,,,,
1/15/2016,130.03,8976154,130.01,130.88,128.87,0.014875923,,,,
1/19/2016,128.11,9834476,130.11,132.1,128.06,0.050016425,,,,
1/20/2016,121.86,16157470,118.46,123.99,118,-0.008579535,,,,
1/21/2016,122.91,8851281,121.3,125.1,120.5751,0.00334135,,,,
1/22/2016,122.5,9237925,124.67,124.74,121.77,0.003434462,,,,
1/25/2016,122.08,5442719,122.1,124.23,121.64,-0.004168887,,,,
1/26/2016,122.59,4614411,122.25,123.61,122.24,0.013385542,,,,
1/27/2016,120.96,5016159,122.73,123.37,120.65,-0.010362787,,,,
1/28/2016,122.22,3942527,121.26,122.83,121.01,-0.020809625,,,,
1/29/2016,124.79,8246145,123.28,124.79,122.96,-0.000320487,,,,
2/1/2016,124.83,3571590,124.4,125.29,123.71,0.01525638,,,,
2/2/2016,122.94,3287216,123.67,124.14,122.64,-0.014374793,,,,
2/3/2016,124.72,6223424,123.99,125.4499,122.29,-0.023220919,,,,
2/4/2016,127.65,5263233,125.08,128.5,125,-0.007181359,,,,
2/5/2016,128.57,7176748,127.22,128.64,125.85,0.012443909,,,,
2/8/2016,126.98,7363878,126,127.51,124.13,0.023183671,,,,
2/9/2016,124.07,5956116,126.12,126.93,123.77,0.031772098,,,,
2/10/2016,120.19,6456270,125,125.29,119.84,0.019661195,,,,
2/11/2016,117.85,7304306,118.78,119.66,116.901,-0.02670844,,,,
2/12/2016,121.04,4935186,119.26,121.05,118.35,-0.013947227,,,,
