Macrotrends Data Download,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date, value,ln(st/st-1),,,,,,,,,,,,
10/27/2009,1040.75,0.005057205,,,,,,,,,,,,
10/28/2009,1035.5,0.001449626,,,,,,,,,,,,
10/29/2009,1034,-0.010103526,,,,,,,,,,,,
10/30/2009,1044.5,-0.007154812,,,,,,,,,,,,
11/2/2009,1052,-0.005687219,,,,,,,,,,,,
11/3/2009,1058,-0.03140158,,,,,,,,,,,,
11/4/2009,1091.75,0.003440765,,,,,,,,,,,,
11/5/2009,1088,-0.006413215,,,,,,,,,,,,
11/6/2009,1095,-0.012253387,,,,,,,,,,,,
11/9/2009,1108.5,0.007924869,,,,,,,,,,,,
11/10/2009,1099.75,-0.013547283,,,,,,,,,,,,
11/11/2009,1114.75,-0.001120699,,,,,,,,,,,,
11/12/2009,1116,0.007645641,,,,,,,,,,,,
11/13/2009,1107.5,-0.019005603,,,,,,,,,,,,
11/16/2009,1128.75,-0.002654282,,,,,,,,,,,,
11/17/2009,1131.75,-0.012512511,,,,,,,,,,,,
11/18/2009,1146,0.008764298,,,,,,,,,,,,
11/19/2009,1136,-0.005705523,,,,,,,,,,,,
11/20/2009,1142.5,-0.020360244,,,,,,,,,,,,
11/23/2009,1166,-0.003638313,,,,,,,,,,,,
11/24/2009,1170.25,-0.005326528,,,,,,,,,,,,
11/25/2009,1176.5,-0.005509656,,,,,,,,,,,,
11/26/2009,1183,0.015761775,,,,,,,,,,,,
11/27/2009,1164.5,-0.006419881,,,,,,,,,,,,
11/30/2009,1172,-0.018178476,,,,,,,,,,,,
12/1/2009,1193.5,-0.014969094,,,,,,,,,,,,
12/2/2009,1211.5,-0.005556141,,,,,,,,,,,,
12/3/2009,1218.25,0.012389174,,,,,,,,,,,,
12/4/2009,1203.25,0.047440566,,,,,,,,,,,,
12/7/2009,1147.5,-0.01449144,,,,,,,,,,,,
12/8/2009,1164.25,0.019077101,,,,,,,,,,,,
12/9/2009,1142.25,0.014550521,,,,,,,,,,,,
12/10/2009,1125.75,-0.012578782,,,,,,,,,,,,
12/11/2009,1140,0.017699577,,,,,,,,,,,,
12/14/2009,1120,0.00447428,,,,,,,,,,,,
12/15/2009,1115,-0.0168968,,,,,,,,,,,,
12/16/2009,1134,0.01108413,,,,,,,,,,,,
12/17/2009,1121.5,0.013465194,,,,,,,,,,,,
12/18/2009,1106.5,-0.006081785,,,,,,,,,,,,
12/21/2009,1113.25,0.017214468,,,,,,,,,,,,
12/22/2009,1094.25,0.0126453,,,,,,,,,,,,
12/23/2009,1080.5,-0.021968847,,,,,,,,,,,,
12/24/2009,1104.5,0.001359004,,,,,,,,,,,,
12/29/2009,1103,0.009565092,,,,,,,,,,,,
12/30/2009,1092.5,-0.0104713,,,,,,,,,,,,
